,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,side_branches_in_cm,main_stem_length_in_cm
954,0.79,7,6.9,0.15,45.5,102.0
227,0.44,9,28.1,0.23,45.5,32.0
660,0.28,0,0.0,0.15,45.5,35.0
143,0.29,0,0.0,0.06,45.5,39.0
846,0.68,0,0.0,0.15,45.5,72.0
180,0.37,0,0.0,0.08,45.5,58.0
868,0.58,19,59.4,0.15,45.5,32.0
972,0.78,4,3.7,0.15,45.5,107.0
131,0.26,5,13.2,0.06,45.5,38.0
1035,0.64,6,8.2,0.38,45.5,73.0
47,0.35,28,133.3,0.16,45.5,21.0
964,0.92,1,0.8,0.24,45.5,122.0
774,0.63,19,43.2,0.15,45.5,44.0
324,0.22,0,0.0,0.15,45.5,18.5
203,0.6,34,60.7,0.11,45.5,56.0
84,0.9,0,0.0,0.26,45.5,79.0
938,0.73,4,13.3,0.15,45.5,30.0
633,0.62,0,0.0,0.15,45.5,51.0
908,0.5,17,23.6,0.15,45.5,72.0
565,0.87,0,0.0,0.15,58.0,62.0
611,0.51,0,0.0,0.15,45.5,55.0
398,0.17,0,0.0,0.15,45.5,14.0
896,0.48,18,30.5,0.15,45.5,59.0
91,0.48,0,0.0,0.03,45.5,75.0
82,0.25,0,0.0,0.06,45.5,47.0
430,0.56,0,0.0,0.15,45.5,66.0
779,0.54,11,20.0,0.15,45.5,55.0
119,0.82,0,0.0,0.23,45.5,65.0
870,0.46,28,66.7,0.15,45.5,42.0
291,0.34,15,44.8,0.1,45.5,33.5
57,0.53,0,0.0,0.09,45.5,65.0
937,0.35,10,10.4,0.15,45.5,96.0
999,0.98,6,5.0,0.15,45.5,120.0
321,0.19,0,0.0,0.15,45.5,11.0
257,0.19,3,13.6,0.08,45.5,22.0
888,0.47,8,16.0,0.15,45.5,50.0
1061,0.45,8,17.4,0.15,45.5,46.0
442,0.5,0,0.0,0.15,45.5,53.0
42,0.51,23,104.5,0.23,45.5,22.0
617,0.6,0,0.0,0.15,60.0,24.0
388,0.23,0,0.0,0.15,45.5,11.0
335,0.19,0,0.0,0.15,45.5,12.0
273,0.52,22,48.9,0.15,45.5,45.0
756,0.48,11,25.0,0.15,45.5,44.0
488,0.39,0,0.0,0.15,45.5,29.0
550,0.31,0,0.0,0.15,45.5,26.0
901,0.62,3,3.9,0.15,45.5,76.0
53,0.41,0,0.0,0.06,45.5,81.0
932,0.6,6,12.0,0.15,45.5,50.0
1024,0.56,0,0.0,0.45,45.5,45.0
128,0.34,0,0.0,0.03,45.5,67.0
802,0.49,0,0.0,0.15,45.5,79.5
28,0.61,17,50.0,0.2,45.5,34.0
882,0.8,21,33.3,0.15,45.5,63.0
510,0.51,0,0.0,0.15,45.5,44.0
675,0.6,0,0.0,0.15,134.0,44.0
151,0.57,0,0.0,0.04,45.5,92.0
