,stem_diam_bottom_in_cm,diam_top_in_cm,side_branches_in_cm,total_meja,tip_of_stem_broken,infested,total_number_adults,main_stem_length_in_cm
346,0.17,0.18,60.23,0,0,0,0,10.5
396,0.26,0.18,60.23,0,0,0,0,9.0
198,0.52,0.31,60.23,2,1,1,1,52.5
389,0.23,0.18,60.23,0,0,0,0,13.0
385,0.25,0.18,60.23,0,0,0,0,12.5
941,0.49,0.18,60.23,14,0,1,8,65.0
485,0.47,0.18,60.23,0,1,0,0,28.0
1001,0.98,0.34,60.23,18,1,1,3,76.0
983,0.72,0.18,60.23,1,0,1,0,99.0
740,0.58,0.18,60.23,0,0,0,0,62.0
229,0.32,0.12,60.23,12,1,1,12,24.0
793,0.46,0.18,60.23,0,0,0,0,69.0
21,0.45,0.11,60.23,10,0,1,10,42.0
702,0.57,0.18,60.23,0,0,0,0,56.0
796,0.49,0.18,60.23,0,0,0,0,62.0
649,0.26,0.18,60.23,0,1,0,0,33.0
250,0.61,0.13,60.23,17,1,1,10,62.5
243,0.35,0.13,60.23,16,0,1,14,32.0
619,0.43,0.18,30.0,0,1,0,0,58.0
35,0.62,0.12,60.23,9,1,1,7,34.0
81,0.43,0.05,60.23,3,0,1,3,52.0
159,0.37,0.14,60.23,2,1,1,2,51.0
732,0.47,0.18,60.23,0,0,0,0,70.0
333,0.21,0.18,60.23,0,0,0,0,19.0
911,0.63,0.18,60.23,14,0,1,0,99.0
957,1.05,0.18,60.23,2,1,1,0,99.0
728,0.36,0.18,60.23,0,0,0,0,83.0
109,0.88,0.26,60.23,0,1,0,0,82.0
492,0.4,0.18,60.23,2,1,1,0,34.0
379,0.24,0.18,60.23,0,0,0,0,9.5
815,0.49,0.18,60.23,1,0,1,0,65.0
966,0.62,0.18,60.23,8,0,1,1,87.0
92,0.27,0.06,60.23,0,0,0,0,48.0
748,0.56,0.18,60.23,0,0,0,0,99.0
479,0.29,0.18,60.23,0,1,0,0,22.0
968,0.42,0.18,60.23,8,0,1,1,61.0
934,0.44,0.18,60.23,33,0,1,4,73.0
390,0.17,0.18,60.23,0,0,0,0,8.5
626,0.31,0.18,60.23,0,1,0,0,42.0
70,0.32,0.05,60.23,0,0,0,0,75.0
491,0.77,0.18,60.23,6,1,1,0,54.0
211,0.52,0.24,60.23,35,1,1,34,45.0
171,0.42,0.08,60.23,4,0,1,4,62.0
165,0.28,0.05,60.23,1,1,1,1,49.0
238,0.61,0.25,60.23,23,1,1,9,49.0
188,0.53,0.12,60.23,1,0,1,1,67.0
874,0.56,0.18,60.23,8,0,1,0,33.0
686,0.7,0.18,60.23,0,0,0,0,91.0
676,0.48,0.18,60.23,0,0,0,0,49.0
344,0.22,0.18,60.23,0,0,0,0,12.0
588,0.36,0.18,60.23,0,1,0,0,36.0
963,0.79,0.21,60.23,0,1,0,0,80.0
1007,0.8,0.4,60.23,0,1,0,0,52.0
703,0.38,0.18,60.23,0,0,0,0,72.0
904,0.94,0.18,60.23,60,0,1,6,87.0
155,0.68,0.05,60.23,0,0,0,0,92.0
824,0.56,0.18,60.23,5,0,1,0,72.0
620,0.82,0.18,110.0,0,1,0,0,32.0
818,0.65,0.18,60.23,9,0,1,0,75.0
125,0.33,0.07,60.23,10,0,1,10,34.0
993,0.93,0.25,60.23,0,1,0,0,98.0
456,0.76,0.18,60.23,0,1,0,0,50.0
66,0.38,0.16,60.23,0,1,0,0,61.0
665,0.62,0.18,60.23,0,0,0,0,114.0
233,0.82,0.2,60.23,12,1,1,10,39.0
224,0.64,0.15,60.23,20,0,1,16,48.0
268,0.56,0.24,60.23,5,1,1,3,47.0
161,0.38,0.05,60.23,9,0,1,9,78.0
521,0.92,0.18,30.0,0,1,0,0,67.0
944,0.74,0.18,60.23,6,1,1,0,77.0
733,0.36,0.18,60.23,0,0,0,0,69.0
672,0.62,0.18,60.23,0,0,0,0,55.0
178,0.39,0.04,60.23,7,0,1,7,64.0
1041,0.75,0.17,60.23,1,1,1,0,67.0
415,0.21,0.18,60.23,0,0,0,0,13.0
100,0.43,0.09,60.23,1,0,1,1,88.0
680,0.63,0.18,49.0,0,0,0,0,91.0
678,0.72,0.18,60.23,0,0,0,0,77.0
334,0.16,0.18,60.23,0,0,0,0,11.5
761,0.54,0.18,117.0,0,0,0,0,53.0
220,0.45,0.16,60.23,26,1,1,25,43.0
391,0.18,0.18,60.23,0,0,0,0,8.0
309,0.2,0.18,60.23,0,0,0,0,15.5
841,0.55,0.18,60.23,31,0,1,6,60.0
965,0.64,0.18,60.23,2,0,1,0,80.0
1010,0.64,0.76,60.23,20,1,1,0,77.0
245,0.34,0.16,60.23,24,1,1,24,37.0
518,0.38,0.18,60.23,0,1,0,0,27.0
580,0.34,0.18,60.23,0,1,0,0,29.0
795,0.47,0.18,60.23,0,0,0,0,65.0
104,0.3,0.09,60.23,2,0,1,2,39.0
596,0.51,0.18,13.0,0,1,0,0,55.0
51,0.34,0.04,60.23,0,0,0,0,68.0
354,0.24,0.18,60.23,0,0,0,0,12.5
460,0.79,0.18,60.23,0,1,0,0,59.0
22,0.34,0.12,60.23,12,0,1,12,27.0
374,0.25,0.18,60.23,0,0,0,0,14.5
538,0.31,0.18,60.23,0,1,0,0,36.0
218,0.4,0.15,60.23,16,1,1,3,29.0
743,0.42,0.18,60.23,0,0,0,0,71.0
848,0.46,0.18,60.23,0,0,0,0,74.0
741,0.47,0.18,60.23,0,0,0,0,81.0
205,0.62,0.11,60.23,9,0,1,9,57.5
798,0.54,0.18,60.23,3,0,1,0,57.0
497,0.57,0.18,60.23,0,1,0,0,47.0
516,0.27,0.18,60.23,0,1,0,0,42.0
375,0.17,0.18,60.23,0,0,0,0,13.0
185,0.38,0.09,60.23,0,1,0,0,53.0
404,0.21,0.18,60.23,0,0,0,0,18.0
994,0.96,0.18,60.23,0,0,0,0,135.0
401,0.2,0.18,60.23,0,0,0,0,6.0
747,0.35,0.18,60.23,0,0,0,0,68.0
713,0.31,0.18,60.23,3,0,1,0,46.0
441,0.75,0.18,87.0,0,1,0,0,32.0
132,0.72,0.08,60.23,1,0,1,1,42.0
173,0.44,0.09,60.23,0,1,0,0,46.0
428,0.64,0.18,60.23,0,1,0,0,47.0
615,0.42,0.18,59.0,0,1,0,0,35.0
1047,0.75,0.62,60.23,5,1,1,2,38.0
822,0.56,0.18,60.23,8,0,1,0,60.0
681,0.57,0.18,60.23,0,0,0,0,83.0
96,0.5,0.05,60.23,0,0,0,0,63.0
642,0.71,0.18,155.0,0,1,0,0,34.0
499,0.5,0.18,60.23,0,1,0,0,73.0
74,0.61,0.03,60.23,0,0,0,0,95.0
89,0.48,0.15,60.23,0,1,0,0,62.0
658,0.46,0.18,129.0,0,1,0,0,16.0
618,0.5,0.18,60.23,0,1,0,0,63.0
0,0.78,0.26,60.23,21,1,1,17,64.0
558,0.35,0.18,60.23,0,1,0,0,30.0
392,0.31,0.18,60.23,0,0,0,0,14.5
476,0.41,0.18,60.23,0,1,0,0,33.0
867,0.47,0.18,60.23,25,0,1,1,58.0
519,0.68,0.18,60.23,0,1,0,0,52.0
107,0.74,0.14,60.23,0,1,0,0,69.0
783,0.39,0.18,60.23,4,0,1,0,45.0
689,0.8,0.18,60.23,0,0,0,0,97.0
223,0.4,0.11,60.23,5,0,1,4,32.0
327,0.24,0.18,60.23,0,0,0,0,10.0
102,0.66,0.13,60.23,0,1,0,0,79.0
857,0.46,0.18,60.23,0,0,0,0,54.0
475,0.62,0.18,60.23,0,1,0,0,32.0
213,0.68,0.23,60.23,11,1,1,7,61.0
135,0.62,0.22,60.23,1,1,1,1,40.0
246,0.33,0.07,60.23,19,0,1,19,37.0
1049,0.68,0.5,60.23,6,1,1,0,54.0
920,0.44,0.18,60.23,13,0,1,0,37.0
860,0.31,0.18,60.23,0,0,0,0,47.0
1046,0.37,0.36,60.23,6,1,1,0,18.0
365,0.27,0.18,60.23,0,0,0,0,10.0
883,0.33,0.18,60.23,6,0,1,0,30.0
26,0.61,0.36,60.23,18,1,1,18,43.0
939,0.29,0.18,60.23,12,0,1,3,39.0
417,0.16,0.18,60.23,0,0,0,0,13.0
613,0.3,0.18,60.23,0,1,0,0,40.0
887,0.43,0.18,60.23,10,0,1,0,42.0
3,0.64,0.26,60.23,30,1,1,30,59.0
134,0.49,0.2,60.23,5,1,1,5,25.0
355,0.23,0.18,60.23,0,0,0,0,11.5
956,0.59,0.18,60.23,4,1,1,0,72.0
833,0.69,0.18,60.23,7,0,1,1,73.0
1038,0.56,0.26,60.23,8,1,1,0,67.0
608,0.43,0.18,60.23,0,1,0,0,52.0
859,0.37,0.18,60.23,0,0,0,0,51.0
225,0.43,0.1,60.23,21,0,1,19,26.5
894,0.67,0.18,60.23,26,0,1,4,50.0
369,0.21,0.18,60.23,0,0,0,0,19.0
738,0.49,0.18,60.23,0,0,0,0,70.0
339,0.18,0.18,60.23,0,0,0,0,14.0
419,0.7,0.18,8.0,0,1,0,0,91.0
603,0.51,0.18,60.23,0,1,0,0,45.0
903,0.71,0.18,60.23,22,0,1,2,88.0
265,0.47,0.1,60.23,23,1,1,23,52.0
454,0.76,0.18,128.0,0,1,0,0,58.0
63,0.38,0.04,60.23,0,0,0,0,66.0
823,0.68,0.18,60.23,10,0,1,2,62.0
360,0.23,0.18,60.23,0,0,0,0,11.5
237,0.37,0.13,60.23,10,0,1,6,29.0
112,0.33,0.09,60.23,0,0,0,0,51.0
1036,0.38,0.23,60.23,19,1,1,2,53.0
532,0.48,0.18,60.23,0,1,0,0,43.0
577,0.33,0.18,60.23,0,1,0,0,38.0
126,0.41,0.07,60.23,2,1,1,2,47.0
259,0.35,0.11,60.23,5,0,1,5,29.0
805,0.75,0.18,60.23,0,0,0,0,87.0
781,0.37,0.18,60.23,7,0,1,0,40.0
137,0.62,0.11,60.23,0,1,0,0,71.0
725,0.45,0.18,60.23,0,0,0,0,90.0
7,0.68,0.15,60.23,41,1,1,37,46.0
502,0.76,0.18,129.0,0,1,0,0,64.0
631,0.47,0.18,60.23,0,1,0,0,63.0
905,0.44,0.18,60.23,8,0,1,1,48.0
760,0.5,0.18,111.0,2,0,1,0,26.0
926,0.11,0.18,60.23,1,0,1,0,30.0
407,0.16,0.18,60.23,0,0,0,0,12.0
750,0.66,0.18,57.0,0,0,0,0,75.0
353,0.18,0.18,60.23,0,0,0,0,14.0
153,0.63,0.15,60.23,0,1,0,0,86.0
566,0.67,0.18,83.0,0,1,0,0,57.0
542,0.33,0.18,60.23,0,1,0,0,25.0
343,0.21,0.18,60.23,0,0,0,0,16.5
967,1.08,0.58,60.23,1,1,1,0,63.0
612,0.4,0.18,60.23,0,1,0,0,43.0
1065,0.71,0.18,60.23,2,0,1,0,96.0
899,0.82,0.18,60.23,37,0,1,1,77.0
56,0.53,0.02,60.23,0,0,0,0,103.0
400,0.26,0.18,60.23,0,0,0,0,8.0
572,0.3,0.18,60.23,0,1,0,0,34.0
473,0.26,0.18,60.23,4,1,1,0,27.0
468,0.54,0.18,60.23,0,1,0,0,34.0
708,0.28,0.18,60.23,0,0,0,0,65.0
827,0.44,0.18,60.23,1,0,1,0,56.0
504,0.56,0.18,28.0,0,1,0,0,61.0
1043,0.46,0.34,60.23,0,1,0,0,50.0
706,0.6,0.18,60.23,0,0,0,0,70.0
648,0.3,0.18,60.23,0,1,0,0,39.0
1019,0.77,0.18,60.23,1,0,1,0,100.0
300,0.21,0.18,60.23,0,0,0,0,20.0
731,0.34,0.18,60.23,0,0,0,0,59.0
722,0.61,0.18,60.23,0,0,0,0,83.0
570,0.34,0.18,60.23,0,1,0,0,35.0
163,0.57,0.12,60.23,1,1,1,1,72.0
636,0.41,0.18,60.23,0,1,0,0,40.0
336,0.29,0.18,60.23,0,0,0,0,20.5
59,0.73,0.05,60.23,0,0,0,0,85.0
895,0.38,0.18,60.23,25,0,1,5,58.0
1021,0.52,0.18,60.23,13,0,1,3,38.0
490,0.36,0.18,60.23,0,1,0,0,18.0
855,0.46,0.18,60.23,0,0,0,0,56.0
449,0.55,0.18,60.23,0,1,0,0,46.0
762,0.45,0.18,60.23,2,0,1,0,59.0
437,0.28,0.18,60.23,0,1,0,0,40.0
670,0.38,0.18,60.23,0,0,0,0,56.0
563,0.43,0.18,60.23,0,1,0,0,49.0
842,0.7,0.18,60.23,21,0,1,1,64.0
970,0.94,0.16,60.23,1,1,1,0,86.0
219,0.58,0.29,60.23,39,1,1,38,51.0
837,0.58,0.18,60.23,6,0,1,0,60.0
586,0.44,0.18,60.23,0,1,0,0,41.0
282,0.69,0.13,60.23,23,0,1,23,34.0
348,0.2,0.18,60.23,0,0,0,0,6.0
744,0.58,0.18,60.23,0,0,0,0,93.0
4,0.65,0.3,60.23,31,1,1,31,45.0
893,0.67,0.18,60.23,10,0,1,5,43.0
463,0.38,0.18,32.0,0,1,0,0,28.0
871,0.44,0.18,60.23,19,0,1,3,26.0
1032,0.7,0.41,60.23,6,1,1,1,46.0
959,0.65,0.18,60.23,0,1,0,0,89.0
517,0.29,0.18,60.23,0,1,0,0,22.0
653,0.24,0.18,60.23,0,1,0,0,43.0
573,0.41,0.18,60.23,0,1,0,0,38.0
647,0.42,0.18,14.0,0,1,0,0,52.0
953,0.71,0.18,60.23,4,1,1,0,86.0
975,0.84,0.18,60.23,0,0,0,0,111.0
534,0.53,0.18,22.0,0,1,0,0,47.0
987,0.52,0.34,60.23,4,1,1,1,46.0
276,0.61,0.26,60.23,34,1,1,34,33.0
284,0.47,0.14,60.23,19,0,1,18,43.0
470,0.41,0.18,60.23,0,1,0,0,45.0
426,0.44,0.18,60.23,0,1,0,0,78.0
281,0.41,0.09,60.23,3,0,1,0,28.0
120,0.31,0.07,60.23,2,1,1,2,43.0
593,0.31,0.18,60.23,0,1,0,0,36.0
1057,0.6,0.53,60.23,10,1,1,2,41.0
13,0.48,0.28,60.23,26,1,1,22,31.0
712,0.43,0.18,60.23,6,0,1,0,40.0
455,0.61,0.18,60.23,0,1,0,0,52.0
584,0.46,0.18,60.23,0,1,0,0,60.0
147,0.38,0.14,60.23,5,1,1,5,37.0
160,0.63,0.1,60.23,0,1,0,0,76.0
1054,0.55,0.43,60.23,5,1,1,0,37.0
933,0.63,0.18,60.23,19,0,1,2,48.0
986,0.45,0.27,60.23,7,1,1,1,32.0
807,0.47,0.18,60.23,0,0,0,0,76.0
195,0.5,0.18,60.23,2,1,1,2,53.0
191,0.38,0.13,60.23,3,1,1,3,64.0
628,0.41,0.18,49.0,0,1,0,0,31.0
536,0.48,0.18,60.23,0,1,0,0,41.0
960,0.63,0.18,60.23,0,1,0,0,104.0
164,0.53,0.12,60.23,3,1,1,3,73.0
106,0.33,0.06,60.23,4,0,1,4,38.0
16,0.66,0.22,60.23,3,1,1,3,36.0
575,0.5,0.18,31.0,0,1,0,0,69.0
1013,0.78,0.53,60.23,7,1,1,0,46.0
1040,0.69,0.33,60.23,11,1,1,0,62.0
540,0.53,0.18,60.23,0,1,0,0,47.0
329,0.24,0.18,60.23,0,0,0,0,10.0
480,0.23,0.18,60.23,0,1,0,0,13.0
498,0.52,0.18,60.23,0,1,0,0,32.0
947,0.75,0.18,60.23,5,0,1,0,111.0
405,0.24,0.18,60.23,0,0,0,0,13.0
971,0.7,0.18,60.23,3,0,1,1,107.0
93,0.54,0.11,60.23,0,1,0,0,73.0
433,0.84,0.18,60.23,0,1,0,0,59.0
83,0.56,0.08,60.23,0,0,0,0,85.0
918,0.7,0.18,60.23,12,0,1,1,87.0
978,0.7,0.32,60.23,14,1,1,0,64.0
