,total_meja,diam_top_in_cm,stem_diam_bottom_in_cm,tip_of_stem_broken,main_stem_length_in_cm
841,31,0.18,0.55,0,60.0
965,2,0.18,0.64,0,80.0
1010,20,0.76,0.64,1,77.0
245,24,0.16,0.34,1,37.0
518,0,0.18,0.38,1,27.0
580,0,0.18,0.34,1,29.0
795,0,0.18,0.47,0,65.0
104,2,0.09,0.3,0,39.0
596,0,0.18,0.51,1,55.0
51,0,0.04,0.34,0,68.0
354,0,0.18,0.24,0,12.5
460,0,0.18,0.79,1,59.0
22,12,0.12,0.34,0,27.0
374,0,0.18,0.25,0,14.5
538,0,0.18,0.31,1,36.0
218,16,0.15,0.4,1,29.0
743,0,0.18,0.42,0,71.0
848,0,0.18,0.46,0,74.0
741,0,0.18,0.47,0,81.0
205,9,0.11,0.62,0,57.5
798,3,0.18,0.54,0,57.0
497,0,0.18,0.57,1,47.0
516,0,0.18,0.27,1,42.0
375,0,0.18,0.17,0,13.0
185,0,0.09,0.38,1,53.0
404,0,0.18,0.21,0,18.0
994,0,0.18,0.96,0,135.0
401,0,0.18,0.2,0,6.0
747,0,0.18,0.35,0,68.0
713,3,0.18,0.31,0,46.0
441,0,0.18,0.75,1,32.0
132,1,0.08,0.72,0,42.0
173,0,0.09,0.44,1,46.0
428,0,0.18,0.64,1,47.0
615,0,0.18,0.42,1,35.0
1047,5,0.62,0.75,1,38.0
822,8,0.18,0.56,0,60.0
681,0,0.18,0.57,0,83.0
96,0,0.05,0.5,0,63.0
642,0,0.18,0.71,1,34.0
499,0,0.18,0.5,1,73.0
74,0,0.03,0.61,0,95.0
89,0,0.15,0.48,1,62.0
658,0,0.18,0.46,1,16.0
618,0,0.18,0.5,1,63.0
0,21,0.26,0.78,1,64.0
558,0,0.18,0.35,1,30.0
392,0,0.18,0.31,0,14.5
476,0,0.18,0.41,1,33.0
867,25,0.18,0.47,0,58.0
519,0,0.18,0.68,1,52.0
107,0,0.14,0.74,1,69.0
783,4,0.18,0.39,0,45.0
689,0,0.18,0.8,0,97.0
223,5,0.11,0.4,0,32.0
327,0,0.18,0.24,0,10.0
102,0,0.13,0.66,1,79.0
857,0,0.18,0.46,0,54.0
475,0,0.18,0.62,1,32.0
213,11,0.23,0.68,1,61.0
135,1,0.22,0.62,1,40.0
246,19,0.07,0.33,0,37.0
1049,6,0.5,0.68,1,54.0
